"subject" "activity" "mean"
"1" "Laying" -0.681581978523055
"1" "Sitting" -0.725010256710861
"1" "Standing" -0.751886863913404
"1" "Walking" -0.193204572492262
"1" "WalkingDownStairs" -0.149358035365099
"1" "WalkingUpStairs" -0.315336808393305
"2" "Laying" -0.743126753233842
"2" "Sitting" -0.737361985616243
"2" "Standing" -0.739970261016944
"2" "Walking" -0.32544820638322
"2" "WalkingDownStairs" -0.106411521321941
"2" "WalkingUpStairs" -0.27094863788048
"3" "Laying" -0.734347688677236
"3" "Sitting" -0.707845449974583
"3" "Standing" -0.712068206745217
"3" "Walking" -0.317947801074047
"3" "WalkingDownStairs" -0.232708366871836
"3" "WalkingUpStairs" -0.358357567758965
"4" "Laying" -0.728668034663377
"4" "Sitting" -0.717843420704141
"4" "Standing" -0.705320467661402
"4" "Walking" -0.392128132692634
"4" "WalkingDownStairs" -0.281840698460603
"4" "WalkingUpStairs" -0.341355950186464
"5" "Laying" -0.739085358855865
"5" "Sitting" -0.71816250875378
"5" "Standing" -0.698248943096751
"5" "Walking" -0.290846535887125
"5" "WalkingDownStairs" -0.149721994636294
"5" "WalkingUpStairs" -0.244346694233246
"6" "Laying" -0.714481502407656
"6" "Sitting" -0.7166252231237
"6" "Standing" -0.723169679977658
"6" "Walking" -0.231135633132547
"6" "WalkingDownStairs" -0.000804104618582071
"6" "WalkingUpStairs" -0.189984813956898
"7" "Laying" -0.723857064735047
"7" "Sitting" -0.712354376735631
"7" "Standing" -0.725824852727622
"7" "Walking" -0.184567020446338
"7" "WalkingDownStairs" -0.164658253921528
"7" "WalkingUpStairs" -0.362851021783283
"8" "Laying" -0.722406520353446
"8" "Sitting" -0.72745694109493
"8" "Standing" -0.735324128855415
"8" "Walking" -0.16056841343373
"8" "WalkingDownStairs" -0.00103612319688198
"8" "WalkingUpStairs" -0.146879782054871
"9" "Laying" -0.726146510489097
"9" "Sitting" -0.704523755500333
"9" "Standing" -0.719415113824515
"9" "Walking" -0.286806225658878
"9" "WalkingDownStairs" -0.162548480947928
"9" "WalkingUpStairs" -0.352322249173958
"10" "Laying" -0.751454042087244
"10" "Sitting" -0.73712845579557
"10" "Standing" -0.721542732014904
"10" "Walking" -0.207316119201447
"10" "WalkingDownStairs" -0.108732322835411
"10" "WalkingUpStairs" -0.214657479004489
"11" "Laying" -0.739250481303299
"11" "Sitting" -0.730213416461106
"11" "Standing" -0.747503181881309
"11" "Walking" -0.379016958409591
"11" "WalkingDownStairs" -0.220718087092131
"11" "WalkingUpStairs" -0.370962843516591
"12" "Laying" -0.72760644728624
"12" "Sitting" -0.727919507003818
"12" "Standing" -0.719351505561252
"12" "Walking" -0.256034499452433
"12" "WalkingDownStairs" -0.179277771565335
"12" "WalkingUpStairs" -0.354006222470134
"13" "Laying" -0.731168410513377
"13" "Sitting" -0.735239423441511
"13" "Standing" -0.742391626905495
"13" "Walking" -0.210988794167055
"13" "WalkingDownStairs" -0.170802030677804
"13" "WalkingUpStairs" -0.330641118753785
"14" "Laying" -0.706780359580511
"14" "Sitting" -0.730278809106672
"14" "Standing" -0.733750919831609
"14" "Walking" -0.288349500486322
"14" "WalkingDownStairs" 0.00341910027488552
"14" "WalkingUpStairs" -0.111119139268373
"15" "Laying" -0.732694054370465
"15" "Sitting" -0.733838697315558
"15" "Standing" -0.733951795404
"15" "Walking" -0.306114313281622
"15" "WalkingDownStairs" -0.114055542511411
"15" "WalkingUpStairs" -0.294341669544798
"16" "Laying" -0.743287358888657
"16" "Sitting" -0.734763414612203
"16" "Standing" -0.744597444550344
"16" "Walking" -0.383138718688577
"16" "WalkingDownStairs" -0.21577265313244
"16" "WalkingUpStairs" -0.382992324573922
"17" "Laying" -0.731324690617382
"17" "Sitting" -0.747004627057666
"17" "Standing" -0.753476669240357
"17" "Walking" -0.309280113929322
"17" "WalkingDownStairs" -0.233445826587078
"17" "WalkingUpStairs" -0.302507349895375
"18" "Laying" -0.746133039821382
"18" "Sitting" -0.743850843467203
"18" "Standing" -0.744424330919073
"18" "Walking" -0.394478845416299
"18" "WalkingDownStairs" -0.377526737575512
"18" "WalkingUpStairs" -0.42646923228292
"19" "Laying" -0.742143249540819
"19" "Sitting" -0.728175891288928
"19" "Standing" -0.73554803643265
"19" "Walking" -0.0739875703910806
"19" "WalkingDownStairs" 0.154941520892261
"19" "WalkingUpStairs" -0.196891295749223
"20" "Laying" -0.737847526254904
"20" "Sitting" -0.726102407642704
"20" "Standing" -0.703585407231564
"20" "Walking" -0.0954032717082775
"20" "WalkingDownStairs" -0.0458055951405788
"20" "WalkingUpStairs" -0.205762872215166
"21" "Laying" -0.729316795500066
"21" "Sitting" -0.743125990670937
"21" "Standing" -0.740332493442983
"21" "Walking" -0.239612750488894
"21" "WalkingDownStairs" -0.139645365609202
"21" "WalkingUpStairs" -0.298692900152311
"22" "Laying" -0.718920180798411
"22" "Sitting" -0.720164924412542
"22" "Standing" -0.726785296080127
"22" "Walking" -0.161843378710114
"22" "WalkingDownStairs" -0.147381918801591
"22" "WalkingUpStairs" -0.191712185339628
"23" "Laying" -0.738453366680006
"23" "Sitting" -0.726113491116866
"23" "Standing" -0.735074230891955
"23" "Walking" -0.0969339947223061
"23" "WalkingDownStairs" -0.00547247287462682
"23" "WalkingUpStairs" -0.25943590535943
"24" "Laying" -0.738162801094621
"24" "Sitting" -0.737144249115584
"24" "Standing" -0.734420049761198
"24" "Walking" -0.356957437224817
"24" "WalkingDownStairs" -0.241425533951455
"24" "WalkingUpStairs" -0.362618588027219
"25" "Laying" -0.6550466559966
"25" "Sitting" -0.737614646951336
"25" "Standing" -0.739256665905592
"25" "Walking" -0.42015627084922
"25" "WalkingDownStairs" -0.345951992614543
"25" "WalkingUpStairs" -0.435418743421543
"26" "Laying" -0.744683873718817
"26" "Sitting" -0.732209186814351
"26" "Standing" -0.740410224586124
"26" "Walking" -0.318740418835688
"26" "WalkingDownStairs" -0.175493103647397
"26" "WalkingUpStairs" -0.330337988544182
"27" "Laying" -0.747039773104429
"27" "Sitting" -0.738607565821911
"27" "Standing" -0.743828559458429
"27" "Walking" -0.315300610673124
"27" "WalkingDownStairs" -0.180615867943192
"27" "WalkingUpStairs" -0.368009684288904
"28" "Laying" -0.749711337306598
"28" "Sitting" -0.731041115599865
"28" "Standing" -0.712417065277087
"28" "Walking" -0.313871992811888
